iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,$<time
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.87
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,5.93
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,2.07
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2.07
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.22
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,90,2.56
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90,3.31
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,2.24
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,2.47
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,2.45
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3.9
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,90,2.7
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.82
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,2.39
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.88
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,4.32
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2.08
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,3.88
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,2.13
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,2.69
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.86
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,2.48
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,3.08
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,2.16
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,3.33
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,3.34
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,3.42
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,4.89
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,4.79
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,3.25
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,5.47
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,10,2.79
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,10,4.85
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,90,3.36
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,3.25
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,3.34
0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,3.26
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,3.42
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,5.27
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,4.75
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,90,3.27
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,3.37
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,10,2.83
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,3.56
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,2.15
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,4.76
