root,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,$<performance
1,0,0,0,0,0,64,2,256,46272.2
1,0,0,0,0,0,128,2,256,46236.8
1,0,0,0,0,0,256,2,256,46207.6
1,0,0,0,0,0,64,8,256,46297.6
1,0,0,0,0,0,128,8,256,46204
1,0,0,0,0,0,256,8,256,46305.6
1,0,0,0,0,0,64,32,256,46471.2
1,0,0,0,0,0,128,32,256,46255
1,0,0,0,0,0,256,32,256,46275
1,0,0,0,0,0,64,2,1024,47571
1,0,0,0,0,0,128,2,1024,46169.2
1,0,0,0,0,0,256,2,1024,46194.6
1,0,0,0,0,0,64,8,1024,46349.4
1,0,0,0,0,0,128,8,1024,46208
1,0,0,0,0,0,256,8,1024,46252
1,0,0,0,0,0,64,32,1024,46298.4
1,0,0,0,0,0,128,32,1024,46582.2
1,0,0,0,0,0,256,32,1024,46256.6
1,0,0,0,0,0,64,2,4096,46558.6
1,0,0,0,0,0,128,2,4096,46501.2
1,0,0,0,0,0,256,2,4096,46167
1,0,0,0,0,0,64,8,4096,46285
1,0,0,0,0,0,128,8,4096,46245.8
1,0,0,0,0,0,256,8,4096,46426.6
1,0,0,0,0,0,64,32,4096,46314.4
1,0,0,0,0,0,128,32,4096,46476.2
1,0,0,0,0,0,256,32,4096,46042.4
1,0,0,0,0,1,64,2,256,46337
1,0,0,0,0,1,128,2,256,47198.6
1,0,0,0,0,1,256,2,256,46214.2
1,0,0,0,0,1,64,8,256,46194.8
1,0,0,0,0,1,128,8,256,46184.2
1,0,0,0,0,1,256,8,256,46100.4
1,0,0,0,0,1,64,32,256,46295.4
1,0,0,0,0,1,128,32,256,46035
1,0,0,0,0,1,256,32,256,46294.8
1,0,0,0,0,1,64,2,1024,46267.8
1,0,0,0,0,1,128,2,1024,46113.2
1,0,0,0,0,1,256,2,1024,46354.2
1,0,0,0,0,1,64,8,1024,46184.4
1,0,0,0,0,1,128,8,1024,46255.2
1,0,0,0,0,1,256,8,1024,46303
1,0,0,0,0,1,64,32,1024,46172.2
1,0,0,0,0,1,128,32,1024,46299.2
