root,mpm,prefork,worker,moreThreads,moreProcesses,sendfile,compression,noCompression,keepalive,basicAuth,tls,tlsAes128,tlsAes256,maxClients,compressionLevel,$<performance
1,1,1,0,0,0,0,0,1,0,0,1,0,1,512,0,167.7768
1,1,1,0,0,0,0,0,1,0,0,1,0,1,1024,0,168.0676
1,1,1,0,0,0,0,0,1,0,0,1,0,1,2048,0,166.7744
1,1,1,0,0,0,0,0,1,0,0,1,0,1,4096,0,166.614
1,1,1,0,0,0,0,0,1,0,0,1,1,0,512,0,166.1946
1,1,1,0,0,0,0,0,1,0,0,1,1,0,1024,0,166.8602
1,1,1,0,0,0,0,0,1,0,0,1,1,0,2048,0,164.984
1,1,1,0,0,0,0,0,1,0,0,1,1,0,4096,0,165.4656
1,1,1,0,0,0,0,0,1,0,1,1,0,1,512,0,166.8032
1,1,1,0,0,0,0,0,1,0,1,1,0,1,1024,0,168.7374
1,1,1,0,0,0,0,0,1,0,1,1,0,1,2048,0,165.3552
1,1,1,0,0,0,0,0,1,0,1,1,0,1,4096,0,166.5042
1,1,1,0,0,0,0,0,1,0,1,1,1,0,512,0,166.5286
1,1,1,0,0,0,0,0,1,0,1,1,1,0,1024,0,167.3634
1,1,1,0,0,0,0,0,1,0,1,1,1,0,2048,0,166.7918
1,1,1,0,0,0,0,0,1,0,1,1,1,0,4096,0,167.7698
1,1,1,0,0,0,0,0,1,1,0,1,0,1,512,0,32.4742
1,1,1,0,0,0,0,0,1,1,0,1,0,1,1024,0,32.4778
1,1,1,0,0,0,0,0,1,1,0,1,0,1,2048,0,32.4476
1,1,1,0,0,0,0,0,1,1,0,1,0,1,4096,0,32.509
1,1,1,0,0,0,0,0,1,1,0,1,1,0,512,0,32.1214
1,1,1,0,0,0,0,0,1,1,0,1,1,0,1024,0,32.268
1,1,1,0,0,0,0,0,1,1,0,1,1,0,2048,0,32.2248
1,1,1,0,0,0,0,0,1,1,0,1,1,0,4096,0,31.9984
1,1,1,0,0,0,0,0,1,1,1,1,0,1,512,0,32.3174
1,1,1,0,0,0,0,0,1,1,1,1,0,1,1024,0,32.7674
1,1,1,0,0,0,0,0,1,1,1,1,0,1,2048,0,33.0006
1,1,1,0,0,0,0,0,1,1,1,1,0,1,4096,0,33.0218
1,1,1,0,0,0,0,0,1,1,1,1,1,0,512,0,32.3318
1,1,1,0,0,0,0,0,1,1,1,1,1,0,1024,0,32.5466
1,1,1,0,0,0,0,0,1,1,1,1,1,0,2048,0,32.65
1,1,1,0,0,0,0,0,1,1,1,1,1,0,4096,0,32.8334
1,1,1,0,0,0,1,0,1,0,0,1,0,1,512,0,166.168
1,1,1,0,0,0,1,0,1,0,0,1,0,1,1024,0,168.1436
1,1,1,0,0,0,1,0,1,0,0,1,0,1,2048,0,166.9782
1,1,1,0,0,0,1,0,1,0,0,1,0,1,4096,0,167.49
1,1,1,0,0,0,1,0,1,0,0,1,1,0,512,0,167.0268
1,1,1,0,0,0,1,0,1,0,0,1,1,0,1024,0,165.4058
1,1,1,0,0,0,1,0,1,0,0,1,1,0,2048,0,166.6926
1,1,1,0,0,0,1,0,1,0,0,1,1,0,4096,0,164.9114
1,1,1,0,0,0,1,0,1,0,1,1,0,1,512,0,167.1644
1,1,1,0,0,0,1,0,1,0,1,1,0,1,1024,0,167.7914
1,1,1,0,0,0,1,0,1,0,1,1,0,1,2048,0,168.3238
1,1,1,0,0,0,1,0,1,0,1,1,0,1,4096,0,166.62
1,1,1,0,0,0,1,0,1,0,1,1,1,0,512,0,166.3636
1,1,1,0,0,0,1,0,1,0,1,1,1,0,1024,0,166.6634
1,1,1,0,0,0,1,0,1,0,1,1,1,0,2048,0,166.5992
1,1,1,0,0,0,1,0,1,0,1,1,1,0,4096,0,167.8852
1,1,1,0,0,0,1,0,1,1,0,1,0,1,512,0,32.389
1,1,1,0,0,0,1,0,1,1,0,1,0,1,1024,0,31.9774
1,1,1,0,0,0,1,0,1,1,0,1,0,1,2048,0,32.39
1,1,1,0,0,0,1,0,1,1,0,1,0,1,4096,0,32.5432
1,1,1,0,0,0,1,0,1,1,0,1,1,0,512,0,32.1144
1,1,1,0,0,0,1,0,1,1,0,1,1,0,1024,0,31.9034
1,1,1,0,0,0,1,0,1,1,0,1,1,0,2048,0,32.0884
1,1,1,0,0,0,1,0,1,1,0,1,1,0,4096,0,32.237
1,1,1,0,0,0,1,0,1,1,1,1,0,1,512,0,32.952
1,1,1,0,0,0,1,0,1,1,1,1,0,1,1024,0,32.272
1,1,1,0,0,0,1,0,1,1,1,1,0,1,2048,0,32.7488
1,1,1,0,0,0,1,0,1,1,1,1,0,1,4096,0,32.9528
1,1,1,0,0,0,1,0,1,1,1,1,1,0,512,0,32.465
1,1,1,0,0,0,1,0,1,1,1,1,1,0,1024,0,32.7334
1,1,1,0,0,0,1,0,1,1,1,1,1,0,2048,0,32.7328
1,1,1,0,0,0,1,0,1,1,1,1,1,0,4096,0,32.4974
1,1,1,0,0,0,0,1,0,0,0,1,0,1,512,1,166.3008
1,1,1,0,0,0,0,1,0,0,0,1,0,1,1024,1,168.5756
1,1,1,0,0,0,0,1,0,0,0,1,0,1,2048,1,168.358
1,1,1,0,0,0,0,1,0,0,0,1,0,1,4096,1,165.9102
1,1,1,0,0,0,0,1,0,0,0,1,0,1,512,5,166.6294
1,1,1,0,0,0,0,1,0,0,0,1,0,1,1024,5,165.1142
1,1,1,0,0,0,0,1,0,0,0,1,0,1,2048,5,166.5024
1,1,1,0,0,0,0,1,0,0,0,1,0,1,4096,5,167.3366
1,1,1,0,0,0,0,1,0,0,0,1,0,1,512,9,165.5418
1,1,1,0,0,0,0,1,0,0,0,1,0,1,1024,9,166.3772
1,1,1,0,0,0,0,1,0,0,0,1,0,1,2048,9,165.9198
1,1,1,0,0,0,0,1,0,0,0,1,0,1,4096,9,167.0804
1,1,1,0,0,0,0,1,0,0,0,1,1,0,512,1,167.1056
1,1,1,0,0,0,0,1,0,0,0,1,1,0,1024,1,167.5178
1,1,1,0,0,0,0,1,0,0,0,1,1,0,2048,1,167.1916
1,1,1,0,0,0,0,1,0,0,0,1,1,0,4096,1,167.098
1,1,1,0,0,0,0,1,0,0,0,1,1,0,512,5,166.6212
1,1,1,0,0,0,0,1,0,0,0,1,1,0,1024,5,167.4082
1,1,1,0,0,0,0,1,0,0,0,1,1,0,2048,5,167.0674
1,1,1,0,0,0,0,1,0,0,0,1,1,0,4096,5,167.179
1,1,1,0,0,0,0,1,0,0,0,1,1,0,512,9,167.8128
1,1,1,0,0,0,0,1,0,0,0,1,1,0,1024,9,166.4434
1,1,1,0,0,0,0,1,0,0,0,1,1,0,2048,9,167.909
