batch_size,conv_1_num_filters,conv_1_filter_size,conv_2_num_filters,conv_2_filter_size,conv_3_num_filters,conv_3_filter_size,log_lr,log_beta_1,log_beta_2,log_epsilon,log_decay,$<aws-theano
0,0,0,0,0,0,0,0,0,0,0,0,1.704458952
0,0,0,0,0,0,0,0,0,0,0,1,1.103607893
0,0,0,0,0,0,0,0,0,0,1,0,1.09162426
0,0,0,0,0,0,0,0,0,0,1,1,1.111213923
0,0,0,0,0,0,0,0,0,1,0,0,1.106866121
0,0,0,0,0,0,0,0,0,1,0,1,1.092324257
0,0,0,0,0,0,0,0,0,1,1,0,1.095468283
0,0,0,0,0,0,0,0,0,1,1,1,1.114732504
0,0,0,0,0,0,0,0,1,0,0,0,1.109657764
0,0,0,0,0,0,0,0,1,0,0,1,1.10283947
0,0,0,0,0,0,0,0,1,0,1,0,1.082863569
0,0,0,0,0,0,0,0,1,0,1,1,1.076675415
0,0,0,0,0,0,0,0,1,1,0,0,1.088349819
0,0,0,0,0,0,0,0,1,1,0,1,1.125673532
0,0,0,0,0,0,0,0,1,1,1,0,1.101745129
0,0,0,0,0,0,0,0,1,1,1,1,1.101543427
0,0,0,0,0,0,0,1,0,0,0,0,1.094360113
0,0,0,0,0,0,0,1,0,0,0,1,1.106528759
0,0,0,0,0,0,0,1,0,0,1,0,1.119951248
0,0,0,0,0,0,0,1,0,0,1,1,1.108624458
0,0,0,0,0,0,0,1,0,1,0,0,1.105494022
0,0,0,0,0,0,0,1,0,1,0,1,1.115742207
0,0,0,0,0,0,0,1,0,1,1,0,1.085947514
0,0,0,0,0,0,0,1,0,1,1,1,1.093610764
0,0,0,0,0,0,0,1,1,0,0,0,1.092025995
0,0,0,0,0,0,0,1,1,0,0,1,1.099935532
0,0,0,0,0,0,0,1,1,0,1,0,1.090123892
0,0,0,0,0,0,0,1,1,0,1,1,1.0855124
0,0,0,0,0,0,0,1,1,1,0,0,1.105909586
0,0,0,0,0,0,0,1,1,1,0,1,1.083545923
0,0,0,0,0,0,0,1,1,1,1,0,1.103518724
0,0,0,0,0,0,0,1,1,1,1,1,1.097036362
0,0,0,0,0,0,1,0,0,0,0,0,1.243744135
0,0,0,0,0,0,1,0,0,0,0,1,1.240280151
0,0,0,0,0,0,1,0,0,0,1,0,1.256453753
0,0,0,0,0,0,1,0,0,0,1,1,1.246120453
0,0,0,0,0,0,1,0,0,1,0,0,1.245904922
0,0,0,0,0,0,1,0,0,1,0,1,1.243977547
0,0,0,0,0,0,1,0,0,1,1,0,1.259613514
0,0,0,0,0,0,1,0,0,1,1,1,1.250141621
0,0,0,0,0,0,1,0,1,0,0,0,1.265194654
0,0,0,0,0,0,1,0,1,0,0,1,1.237868071
0,0,0,0,0,0,1,0,1,0,1,0,1.250151873
0,0,0,0,0,0,1,0,1,0,1,1,1.233064651
0,0,0,0,0,0,1,0,1,1,0,0,1.239232302
0,0,0,0,0,0,1,0,1,1,0,1,1.254666805
0,0,0,0,0,0,1,0,1,1,1,0,1.248439074
0,0,0,0,0,0,1,0,1,1,1,1,1.237248898
0,0,0,0,0,0,1,1,0,0,0,0,1.248370171
0,0,0,0,0,0,1,1,0,0,0,1,1.241755486
0,0,0,0,0,0,1,1,0,0,1,0,1.228362322
0,0,0,0,0,0,1,1,0,0,1,1,1.275563002
0,0,0,0,0,0,1,1,0,1,0,0,1.256272793
0,0,0,0,0,0,1,1,0,1,0,1,1.248861313
0,0,0,0,0,0,1,1,0,1,1,0,1.242431879
0,0,0,0,0,0,1,1,0,1,1,1,1.23927474
0,0,0,0,0,0,1,1,1,0,0,0,1.227956533
0,0,0,0,0,0,1,1,1,0,0,1,1.265648365
0,0,0,0,0,0,1,1,1,0,1,0,1.23993206
0,0,0,0,0,0,1,1,1,0,1,1,1.275736809
0,0,0,0,0,0,1,1,1,1,0,0,1.254145622
0,0,0,0,0,0,1,1,1,1,0,1,1.246614933
0,0,0,0,0,0,1,1,1,1,1,0,1.252182007
0,0,0,0,0,0,1,1,1,1,1,1,1.253391027
0,0,0,0,0,1,0,0,0,0,0,0,2.572163105
0,0,0,0,0,1,0,0,0,0,0,1,2.571787834
0,0,0,0,0,1,0,0,0,0,1,0,2.583147764
0,0,0,0,0,1,0,0,0,0,1,1,2.61089325
0,0,0,0,0,1,0,0,0,1,0,0,2.500688791
0,0,0,0,0,1,0,0,0,1,0,1,2.573531151
0,0,0,0,0,1,0,0,0,1,1,0,2.772269726
0,0,0,0,0,1,0,0,0,1,1,1,2.548606873
