$root,$filterOff,$HeaderCompressionOff,$mtOff,$CompressionMethod,$LZMA,$LZMA2,$PPMd,$BZip2,$Deflate,$tmOff,$Files,$BlockSize,$x,$<performance
1,0,0,0,1,1,0,0,0,0,0,0,1,0,18009.4
1,0,0,0,1,1,0,0,0,0,0,10,1,0,17754.2
1,0,0,0,1,1,0,0,0,0,0,20,1,0,17676.2
1,0,0,0,1,1,0,0,0,0,0,30,1,0,17737.8
1,0,0,0,1,1,0,0,0,0,0,40,1,0,17662.8
1,0,0,0,1,1,0,0,0,0,0,50,1,0,17613.6
1,0,0,0,1,1,0,0,0,0,0,60,1,0,17715.8
1,0,0,0,1,1,0,0,0,0,0,70,1,0,17627.6
1,0,0,0,1,1,0,0,0,0,0,80,1,0,17622.8
1,0,0,0,1,1,0,0,0,0,0,90,1,0,17890.8
1,0,0,0,1,1,0,0,0,0,0,100,1,0,17613.6
1,0,0,0,1,1,0,0,0,0,0,0,2,0,17960
1,0,0,0,1,1,0,0,0,0,0,10,2,0,17686.4
1,0,0,0,1,1,0,0,0,0,0,20,2,0,17738.6
1,0,0,0,1,1,0,0,0,0,0,30,2,0,17739
1,0,0,0,1,1,0,0,0,0,0,40,2,0,17663.4
1,0,0,0,1,1,0,0,0,0,0,50,2,0,17713.6
1,0,0,0,1,1,0,0,0,0,0,60,2,0,17654.8
1,0,0,0,1,1,0,0,0,0,0,70,2,0,17655.8
1,0,0,0,1,1,0,0,0,0,0,80,2,0,17651.2
1,0,0,0,1,1,0,0,0,0,0,90,2,0,17720
1,0,0,0,1,1,0,0,0,0,0,100,2,0,17669
1,0,0,0,1,1,0,0,0,0,0,0,4,0,17959
1,0,0,0,1,1,0,0,0,0,0,10,4,0,17657.4
1,0,0,0,1,1,0,0,0,0,0,20,4,0,17676.6
1,0,0,0,1,1,0,0,0,0,0,30,4,0,17669.4
1,0,0,0,1,1,0,0,0,0,0,40,4,0,17692
1,0,0,0,1,1,0,0,0,0,0,50,4,0,17689.6
1,0,0,0,1,1,0,0,0,0,0,60,4,0,17642.6
1,0,0,0,1,1,0,0,0,0,0,70,4,0,17699.4
1,0,0,0,1,1,0,0,0,0,0,80,4,0,17774
1,0,0,0,1,1,0,0,0,0,0,90,4,0,17659
1,0,0,0,1,1,0,0,0,0,0,100,4,0,17664.8
1,0,0,0,1,1,0,0,0,0,0,0,8,0,17871.6
1,0,0,0,1,1,0,0,0,0,0,10,8,0,17695.8
1,0,0,0,1,1,0,0,0,0,0,20,8,0,17752.2
1,0,0,0,1,1,0,0,0,0,0,30,8,0,17798.6
1,0,0,0,1,1,0,0,0,0,0,40,8,0,17656.8
1,0,0,0,1,1,0,0,0,0,0,50,8,0,17686.8
1,0,0,0,1,1,0,0,0,0,0,60,8,0,17680.2
1,0,0,0,1,1,0,0,0,0,0,70,8,0,17694.8
1,0,0,0,1,1,0,0,0,0,0,80,8,0,17659.2
1,0,0,0,1,1,0,0,0,0,0,90,8,0,17739.8
1,0,0,0,1,1,0,0,0,0,0,100,8,0,17660.6
1,0,0,0,1,1,0,0,0,0,0,0,16,0,18139.8
1,0,0,0,1,1,0,0,0,0,0,10,16,0,17705.2
1,0,0,0,1,1,0,0,0,0,0,20,16,0,17713.6
1,0,0,0,1,1,0,0,0,0,0,30,16,0,17706.2
1,0,0,0,1,1,0,0,0,0,0,40,16,0,17661.4
