journal,nojournal,journalCompression,journalCompressionSnappy,journalCompressionZlib,ssl,networkCompression,networkCompressionSnappy,networkCompressionZlib,wireObjectCheck,dataCompression,dataCompressionSnappy,dataCompressionZlib,indexPrefixCompression,journalCommitInterval,cacheSize,$<performance
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.256,213141.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.512,210227.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.024,208212
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.048,206356
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.096,212538.2
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.256,289875
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.512,282382
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.024,281613
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.048,280991.2
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.096,285044.6
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.256,210540.4
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.512,211658.2
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.024,210459.4
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2.048,212133.2
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4.096,212470.4
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.256,285264
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.512,281682
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.024,287855.4
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2.048,284911.2
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,4.096,284776.6
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.256,210550.6
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.512,208790.8
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.024,213360.2
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2.048,209169.4
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4.096,209407.8
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.256,214489.6
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.512,214902.8
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1.024,211515.4
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.048,210777
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4.096,208808.2
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.256,283621
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.512,280847.6
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1.024,280589.4
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2.048,284188.8
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4.096,283064.6
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0.256,282258.2
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0.512,284702.8
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1.024,282503.6
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2.048,287329.2
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,4.096,285730.4
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.256,209887
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.512,209100.4
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1.024,208741.6
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2.048,211023
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4.096,207052
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0.256,210805.2
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0.512,215827.6
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1.024,212738.8
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2.048,216785
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,4.096,211197.2
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.256,281399.8
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.512,288695.2
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1.024,286867.4
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,2.048,288569.6
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,4.096,287173.2
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.256,284881.2
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.512,287750.6
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1.024,288207.4
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2.048,285984.8
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,4.096,285639.8
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.256,211295.6
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.512,211220.6
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1.024,208525
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,2.048,210964.4
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,4.096,210097.8
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.256,282455
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.512,282675.8
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1.024,281522.2
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,2.048,285112.8
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,4.096,282239.8
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0.256,213123.8
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0.512,214255
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1.024,216112.6
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2.048,213614.8
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,4.096,212120.4
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.256,284881.8
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.512,283928.6
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1.024,285884.8
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,2.048,288797.8
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,4.096,285901.4
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.256,209472.6
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.512,209587.4
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1.024,208957
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2.048,208421.4
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,4.096,210528.8
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.256,212590.8
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.512,211906.2
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1.024,212430.2
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2.048,212073.4
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,4.096,207481.8
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0.256,209542
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0.512,209824.2
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1.024,212387
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,2.048,210697
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,4.096,207569.2
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0.256,212880.2
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0.512,211642.4
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1.024,213959.4
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,2.048,210296.6
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,4.096,213986.6
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0.256,279828
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0.512,283388.6
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1.024,282187.6
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,2.048,278373.8
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,4.096,290042.8
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0.256,279406.4
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0.512,286279.6
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1.024,284842
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,2.048,287186.4
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,4.096,283769.8
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0.256,284100.4
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0.512,282845.4
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1.024,283892.2
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,2.048,285816.8
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,4.096,288095.8
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0.256,288481.2
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0.512,284988
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1.024,287091.2
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,2.048,289677.4
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,4.096,284270.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.256,225003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.256,227531.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.256,227069.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.256,225617
1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.256,234652.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0.256,229312.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.512,219302
1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.512,223005.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.512,232489.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.512,219103.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.512,224873.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0.512,222347
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.024,222899.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.024,222639.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.024,223511
1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.024,224056.2
