root,opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,opt_unroll,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,$<performance
1,0,0,0,0,0,1,1,0,0,0,0,9374.6
1,0,0,0,0,0,2,1,0,0,0,0,9356
1,0,0,0,0,0,3,1,0,0,0,0,9356.8
1,0,0,0,0,0,4,1,0,0,0,0,9326.8
1,0,0,0,0,0,1,0,1,0,0,0,8280.8
1,0,0,0,0,0,2,0,1,0,0,0,8283.6
1,0,0,0,0,0,3,0,1,0,0,0,8258.4
1,0,0,0,0,0,4,0,1,0,0,0,8318.8
1,0,0,0,0,0,1,0,2,0,0,0,8261
1,0,0,0,0,0,2,0,2,0,0,0,8310.4
1,0,0,0,0,0,3,0,2,0,0,0,8250.8
1,0,0,0,0,0,4,0,2,0,0,0,8329.6
1,0,0,0,0,0,1,0,3,0,0,0,8106.2
1,0,0,0,0,0,2,0,3,0,0,0,8082
1,0,0,0,0,0,3,0,3,0,0,0,8089.6
1,0,0,0,0,0,4,0,3,0,0,0,8057.6
1,0,0,0,0,0,1,0,4,0,0,0,8109.2
1,0,0,0,0,0,2,0,4,0,0,0,8102.4
1,0,0,0,0,0,3,0,4,0,0,0,8137.6
1,0,0,0,0,0,4,0,4,0,0,0,8127
1,0,0,0,0,0,1,0,1,8,0,0,10079.2
1,0,0,0,0,0,2,0,1,8,0,0,10573.4
1,0,0,0,0,0,3,0,1,8,0,0,10921.4
1,0,0,0,0,0,4,0,1,8,0,0,10963
1,0,0,0,0,0,1,0,2,8,0,0,10262.2
1,0,0,0,0,0,2,0,2,8,0,0,10650.4
1,0,0,0,0,0,3,0,2,8,0,0,10840.4
1,0,0,0,0,0,4,0,2,8,0,0,10859.6
1,0,0,0,0,0,1,0,3,8,0,0,9309.8
1,0,0,0,0,0,2,0,3,8,0,0,9019.2
1,0,0,0,0,0,3,0,3,8,0,0,8939
1,0,0,0,0,0,4,0,3,8,0,0,8572.2
1,0,0,0,0,0,1,0,4,8,0,0,9277
1,0,0,0,0,0,2,0,4,8,0,0,8958.4
1,0,0,0,0,0,3,0,4,8,0,0,8553.8
1,0,0,0,0,0,4,0,4,8,0,0,8509.6
1,0,0,0,0,0,1,0,1,10,0,0,9640.6
1,0,0,0,0,0,2,0,1,10,0,0,10059.4
1,0,0,0,0,0,3,0,1,10,0,0,10457.8
1,0,0,0,0,0,4,0,1,10,0,0,10604.4
1,0,0,0,0,0,1,0,2,10,0,0,9146.8
1,0,0,0,0,0,2,0,2,10,0,0,10162
1,0,0,0,0,0,3,0,2,10,0,0,10357.4
1,0,0,0,0,0,4,0,2,10,0,0,10549.8
1,0,0,0,0,0,1,0,3,10,0,0,8839.2
1,0,0,0,0,0,2,0,3,10,0,0,8480.4
1,0,0,0,0,0,3,0,3,10,0,0,8490
1,0,0,0,0,0,4,0,3,10,0,0,8251.6
1,0,0,0,0,0,1,0,4,10,0,0,8880
1,0,0,0,0,0,2,0,4,10,0,0,8420
1,0,0,0,0,0,3,0,4,10,0,0,8399.8
1,0,0,0,0,0,4,0,4,10,0,0,8207.8
1,0,0,0,0,0,1,0,1,16,0,0,8967.4
1,0,0,0,0,0,2,0,1,16,0,0,9336.4
1,0,0,0,0,0,3,0,1,16,0,0,9021.8
1,0,0,0,0,0,4,0,1,16,0,0,9508
1,0,0,0,0,0,1,0,2,16,0,0,8661.2
1,0,0,0,0,0,2,0,2,16,0,0,9373.6
1,0,0,0,0,0,3,0,2,16,0,0,8949.8
1,0,0,0,0,0,4,0,2,16,0,0,9387.2
1,0,0,0,0,0,1,0,3,16,0,0,7931.4
1,0,0,0,0,0,2,0,3,16,0,0,7520.2
1,0,0,0,0,0,3,0,3,16,0,0,7512.4
1,0,0,0,0,0,4,0,3,16,0,0,7564.6
1,0,0,0,0,0,1,0,4,16,0,0,7878.2
1,0,0,0,0,0,2,0,4,16,0,0,7486.4
1,0,0,0,0,0,3,0,4,16,0,0,7552.2
1,0,0,0,0,0,4,0,4,16,0,0,7536.8
1,0,0,0,0,0,1,0,1,20,0,0,8764.6
1,0,0,0,0,0,2,0,1,20,0,0,9121.8
1,0,0,0,0,0,3,0,1,20,0,0,8640
1,0,0,0,0,0,4,0,1,20,0,0,9132.6
1,0,0,0,0,0,1,0,2,20,0,0,8065.4
1,0,0,0,0,0,2,0,2,20,0,0,9143.8
1,0,0,0,0,0,3,0,2,20,0,0,8866.4
1,0,0,0,0,0,4,0,2,20,0,0,8369
1,0,0,0,0,0,1,0,3,20,0,0,7625.6
1,0,0,0,0,0,2,0,3,20,0,0,7222.8
1,0,0,0,0,0,3,0,3,20,0,0,7248
1,0,0,0,0,0,4,0,3,20,0,0,7288.4
1,0,0,0,0,0,1,0,4,20,0,0,7575.6
1,0,0,0,0,0,2,0,4,20,0,0,7181.4
1,0,0,0,0,0,3,0,4,20,0,0,7282.2
1,0,0,0,0,0,4,0,4,20,0,0,7224.2
1,0,0,0,0,0,1,0,1,32,0,0,8426.2
1,0,0,0,0,0,2,0,1,32,0,0,8842.6
1,0,0,0,0,0,3,0,1,32,0,0,7867.4
1,0,0,0,0,0,4,0,1,32,0,0,8634.6
1,0,0,0,0,0,1,0,2,32,0,0,7786.8
1,0,0,0,0,0,2,0,2,32,0,0,8845
1,0,0,0,0,0,3,0,2,32,0,0,7835.8
1,0,0,0,0,0,4,0,2,32,0,0,8523
1,0,0,0,0,0,1,0,3,32,0,0,7117.6
1,0,0,0,0,0,2,0,3,32,0,0,6869.4
1,0,0,0,0,0,3,0,3,32,0,0,6899.2
1,0,0,0,0,0,4,0,3,32,0,0,6916.6
1,0,0,0,0,0,1,0,4,32,0,0,7082.2
1,0,0,0,0,0,2,0,4,32,0,0,6864.2
1,0,0,0,0,0,3,0,4,32,0,0,6892.8
1,0,0,0,0,0,4,0,4,32,0,0,6885.2
1,0,0,0,0,0,1,0,1,64,0,0,9085.4
1,0,0,0,0,0,2,0,1,64,0,0,9410.2
1,0,0,0,0,0,3,0,1,64,0,0,8647.8
1,0,0,0,0,0,4,0,1,64,0,0,9102.4
1,0,0,0,0,0,1,0,2,64,0,0,9536.4
1,0,0,0,0,0,2,0,2,64,0,0,10099.2
1,0,0,0,0,0,3,0,2,64,0,0,10004.4
1,0,0,0,0,0,4,0,2,64,0,0,9952.2
1,0,0,0,0,0,1,0,3,64,0,0,7455.2
1,0,0,0,0,0,2,0,3,64,0,0,7379.4
1,0,0,0,0,0,3,0,3,64,0,0,7341.8
1,0,0,0,0,0,4,0,3,64,0,0,7326.6
1,0,0,0,0,0,1,0,4,64,0,0,8570.2
1,0,0,0,0,0,2,0,4,64,0,0,8467.2
1,0,0,0,0,0,3,0,4,64,0,0,8515.2
1,0,0,0,0,0,4,0,4,64,0,0,8362.2
1,0,0,0,0,0,1,0,1,128,0,0,9444
1,0,0,0,0,0,2,0,1,128,0,0,9423.8
1,0,0,0,0,0,3,0,1,128,0,0,9414
1,0,0,0,0,0,4,0,1,128,0,0,9408.8
1,0,0,0,0,0,1,0,2,128,0,0,9809.8
1,0,0,0,0,0,2,0,2,128,0,0,10001.6
1,0,0,0,0,0,3,0,2,128,0,0,9962.4
